"method","arm","level","sample_size","effect_size","truth","predicted","n"
"mrgn","truth","model",50,"medium","M4","M2",0
"mrgn","truth","model",50,"medium","M0","M3",0
"mrgn","truth","model",50,"medium","M1","M3",0
"mrgn","truth","model",50,"medium","M2","M3",0
"mrgn","truth","model",50,"medium","M3","M3",3
"mrgn","truth","model",50,"medium","M4","M3",1
"mrgn","truth","model",50,"medium","M0","M4",0
"mrgn","truth","model",50,"medium","M1","M4",0
"mrgn","truth","model",50,"medium","M2","M4",0
"mrgn","truth","model",50,"medium","M3","M4",0
"mrgn","truth","model",50,"medium","M4","M4",0
"mrgn","truth","model",50,"medium","M0","Other",17
"mrgn","truth","model",50,"medium","M1","Other",16
"mrgn","truth","model",50,"medium","M2","Other",7
"mrgn","truth","model",50,"medium","M3","Other",13
"mrgn","truth","model",50,"medium","M4","Other",17
"mrgn","truth","edge",50,"medium","M0","T1 - T2 Edge Absent",3
"mrgn","truth","edge",50,"medium","M1","T1 - T2 Edge Absent",3
"mrgn","truth","edge",50,"medium","M2","T1 - T2 Edge Absent",12
"mrgn","truth","edge",50,"medium","M3","T1 - T2 Edge Absent",7
"mrgn","truth","edge",50,"medium","M4","T1 - T2 Edge Absent",2
"mrgn","truth","edge",50,"medium","M0","T1 - T2 Edge Present",0
"mrgn","truth","edge",50,"medium","M1","T1 - T2 Edge Present",1
"mrgn","truth","edge",50,"medium","M2","T1 - T2 Edge Present",1
"mrgn","truth","edge",50,"medium","M3","T1 - T2 Edge Present",0
"mrgn","truth","edge",50,"medium","M4","T1 - T2 Edge Present",1
"mrgn","truth","edge",50,"medium","M0","Other",17
"mrgn","truth","edge",50,"medium","M1","Other",16
"mrgn","truth","edge",50,"medium","M2","Other",7
"mrgn","truth","edge",50,"medium","M3","Other",13
"mrgn","truth","edge",50,"medium","M4","Other",17
"mrgn","truth","model",50,"large","M0","M0",14
"mrgn","truth","model",50,"large","M1","M0",0
"mrgn","truth","model",50,"large","M2","M0",1
"mrgn","truth","model",50,"large","M3","M0",7
"mrgn","truth","model",50,"large","M4","M0",2
"mrgn","truth","model",50,"large","M0","M1",0
"mrgn","truth","model",50,"large","M1","M1",6
"mrgn","truth","model",50,"large","M2","M1",6
"mrgn","truth","model",50,"large","M3","M1",0
"mrgn","truth","model",50,"large","M4","M1",6
"mrgn","truth","model",50,"large","M0","M2",0
"mrgn","truth","model",50,"large","M1","M2",0
"mrgn","truth","model",50,"large","M2","M2",7
"mrgn","truth","model",50,"large","M3","M2",0
"mrgn","truth","model",50,"large","M4","M2",0
"mrgn","truth","model",50,"large","M0","M3",0
"mrgn","truth","model",50,"large","M1","M3",0
"mrgn","truth","model",50,"large","M2","M3",1
"mrgn","truth","model",50,"large","M3","M3",8
"mrgn","truth","model",50,"large","M4","M3",0
"mrgn","truth","model",50,"large","M0","M4",0
"mrgn","truth","model",50,"large","M1","M4",0
"mrgn","truth","model",50,"large","M2","M4",0
"mrgn","truth","model",50,"large","M3","M4",0
"mrgn","truth","model",50,"large","M4","M4",0
