"method","arm","level","sample_size","effect_size","truth","predicted","n"
"mrgn","CSa","model",150,"small","M0","M3",0
"mrgn","CSa","model",150,"small","M1","M3",0
"mrgn","CSa","model",150,"small","M2","M3",0
"mrgn","CSa","model",150,"small","M3","M3",0
"mrgn","CSa","model",150,"small","M4","M3",0
"mrgn","CSa","model",150,"small","M0","M4",0
"mrgn","CSa","model",150,"small","M1","M4",0
"mrgn","CSa","model",150,"small","M2","M4",0
"mrgn","CSa","model",150,"small","M3","M4",0
"mrgn","CSa","model",150,"small","M4","M4",0
"mrgn","CSa","model",150,"small","M0","Other",20
"mrgn","CSa","model",150,"small","M1","Other",18
"mrgn","CSa","model",150,"small","M2","Other",20
"mrgn","CSa","model",150,"small","M3","Other",20
"mrgn","CSa","model",150,"small","M4","Other",20
"mrgn","CSa","edge",150,"small","M0","T1 - T2 Edge Absent",0
"mrgn","CSa","edge",150,"small","M1","T1 - T2 Edge Absent",2
"mrgn","CSa","edge",150,"small","M2","T1 - T2 Edge Absent",0
"mrgn","CSa","edge",150,"small","M3","T1 - T2 Edge Absent",0
"mrgn","CSa","edge",150,"small","M4","T1 - T2 Edge Absent",0
"mrgn","CSa","edge",150,"small","M0","T1 - T2 Edge Present",0
"mrgn","CSa","edge",150,"small","M1","T1 - T2 Edge Present",0
"mrgn","CSa","edge",150,"small","M2","T1 - T2 Edge Present",0
"mrgn","CSa","edge",150,"small","M3","T1 - T2 Edge Present",0
"mrgn","CSa","edge",150,"small","M4","T1 - T2 Edge Present",0
"mrgn","CSa","edge",150,"small","M0","Other",20
"mrgn","CSa","edge",150,"small","M1","Other",18
"mrgn","CSa","edge",150,"small","M2","Other",20
"mrgn","CSa","edge",150,"small","M3","Other",20
"mrgn","CSa","edge",150,"small","M4","Other",20
"mrgn","CSa","model",150,"medium","M0","M0",4
"mrgn","CSa","model",150,"medium","M1","M0",0
"mrgn","CSa","model",150,"medium","M2","M0",1
"mrgn","CSa","model",150,"medium","M3","M0",4
"mrgn","CSa","model",150,"medium","M4","M0",1
"mrgn","CSa","model",150,"medium","M0","M1",0
"mrgn","CSa","model",150,"medium","M1","M1",1
"mrgn","CSa","model",150,"medium","M2","M1",0
"mrgn","CSa","model",150,"medium","M3","M1",1
"mrgn","CSa","model",150,"medium","M4","M1",2
"mrgn","CSa","model",150,"medium","M0","M2",0
"mrgn","CSa","model",150,"medium","M1","M2",0
"mrgn","CSa","model",150,"medium","M2","M2",0
"mrgn","CSa","model",150,"medium","M3","M2",0
"mrgn","CSa","model",150,"medium","M4","M2",0
"mrgn","CSa","model",150,"medium","M0","M3",0
"mrgn","CSa","model",150,"medium","M1","M3",0
"mrgn","CSa","model",150,"medium","M2","M3",0
"mrgn","CSa","model",150,"medium","M3","M3",0
"mrgn","CSa","model",150,"medium","M4","M3",0
"mrgn","CSa","model",150,"medium","M0","M4",0
"mrgn","CSa","model",150,"medium","M1","M4",0
"mrgn","CSa","model",150,"medium","M2","M4",0
"mrgn","CSa","model",150,"medium","M3","M4",0
"mrgn","CSa","model",150,"medium","M4","M4",0
"mrgn","CSa","model",150,"medium","M0","Other",16
"mrgn","CSa","model",150,"medium","M1","Other",19
"mrgn","CSa","model",150,"medium","M2","Other",19
"mrgn","CSa","model",150,"medium","M3","Other",15
"mrgn","CSa","model",150,"medium","M4","Other",17
"mrgn","CSa","edge",150,"medium","M0","T1 - T2 Edge Absent",4
"mrgn","CSa","edge",150,"medium","M1","T1 - T2 Edge Absent",0
"mrgn","CSa","edge",150,"medium","M2","T1 - T2 Edge Absent",1
"mrgn","CSa","edge",150,"medium","M3","T1 - T2 Edge Absent",4
"mrgn","CSa","edge",150,"medium","M4","T1 - T2 Edge Absent",1
"mrgn","CSa","edge",150,"medium","M0","T1 - T2 Edge Present",0
"mrgn","CSa","edge",150,"medium","M1","T1 - T2 Edge Present",1
"mrgn","CSa","edge",150,"medium","M2","T1 - T2 Edge Present",0
"mrgn","CSa","edge",150,"medium","M3","T1 - T2 Edge Present",1
"mrgn","CSa","edge",150,"medium","M4","T1 - T2 Edge Present",2
"mrgn","CSa","edge",150,"medium","M0","Other",16
"mrgn","CSa","edge",150,"medium","M1","Other",19
"mrgn","CSa","edge",150,"medium","M2","Other",19
"mrgn","CSa","edge",150,"medium","M3","Other",15
"mrgn","CSa","edge",150,"medium","M4","Other",17
"mrgn","CSa","model",150,"large","M0","M0",10
"mrgn","CSa","model",150,"large","M1","M0",1
"mrgn","CSa","model",150,"large","M2","M0",1
"mrgn","CSa","model",150,"large","M3","M0",9
"mrgn","CSa","model",150,"large","M4","M0",0
"mrgn","CSa","model",150,"large","M0","M1",0
"mrgn","CSa","model",150,"large","M1","M1",3
"mrgn","CSa","model",150,"large","M2","M1",7
"mrgn","CSa","model",150,"large","M3","M1",1
"mrgn","CSa","model",150,"large","M4","M1",5
"mrgn","CSa","model",150,"large","M0","M2",0
"mrgn","CSa","model",150,"large","M1","M2",0
"mrgn","CSa","model",150,"large","M2","M2",1
"mrgn","CSa","model",150,"large","M3","M2",0
"mrgn","CSa","model",150,"large","M4","M2",0
"mrgn","CSa","model",150,"large","M0","M3",0
"mrgn","CSa","model",150,"large","M1","M3",0
"mrgn","CSa","model",150,"large","M2","M3",0
"mrgn","CSa","model",150,"large","M3","M3",1
"mrgn","CSa","model",150,"large","M4","M3",0
"mrgn","CSa","model",150,"large","M0","M4",0
"mrgn","CSa","model",150,"large","M1","M4",0
"mrgn","CSa","model",150,"large","M2","M4",0
"mrgn","CSa","model",150,"large","M3","M4",0
"mrgn","CSa","model",150,"large","M4","M4",0
"mrgn","CSa","model",150,"large","M0","Other",10
"mrgn","CSa","model",150,"large","M1","Other",16
"mrgn","CSa","model",150,"large","M2","Other",11
"mrgn","CSa","model",150,"large","M3","Other",9
"mrgn","CSa","model",150,"large","M4","Other",15
"mrgn","CSa","edge",150,"large","M0","T1 - T2 Edge Absent",10
"mrgn","CSa","edge",150,"large","M1","T1 - T2 Edge Absent",1
"mrgn","CSa","edge",150,"large","M2","T1 - T2 Edge Absent",1
"mrgn","CSa","edge",150,"large","M3","T1 - T2 Edge Absent",10
"mrgn","CSa","edge",150,"large","M4","T1 - T2 Edge Absent",0
"mrgn","CSa","edge",150,"large","M0","T1 - T2 Edge Present",0
"mrgn","CSa","edge",150,"large","M1","T1 - T2 Edge Present",3
"mrgn","CSa","edge",150,"large","M2","T1 - T2 Edge Present",8
"mrgn","CSa","edge",150,"large","M3","T1 - T2 Edge Present",1
"mrgn","CSa","edge",150,"large","M4","T1 - T2 Edge Present",5
"mrgn","CSa","edge",150,"large","M0","Other",10
"mrgn","CSa","edge",150,"large","M1","Other",16
"mrgn","CSa","edge",150,"large","M2","Other",11
"mrgn","CSa","edge",150,"large","M3","Other",9
"mrgn","CSa","edge",150,"large","M4","Other",15
"mrgn","CSa","model",300,"all","M0","M0",33
"mrgn","CSa","model",300,"all","M1","M0",3
"mrgn","CSa","model",300,"all","M2","M0",2
"mrgn","CSa","model",300,"all","M3","M0",4
"mrgn","CSa","model",300,"all","M4","M0",3
"mrgn","CSa","model",300,"all","M0","M1",4
"mrgn","CSa","model",300,"all","M1","M1",34
"mrgn","CSa","model",300,"all","M2","M1",21
"mrgn","CSa","model",300,"all","M3","M1",2
"mrgn","CSa","model",300,"all","M4","M1",30
"mrgn","CSa","model",300,"all","M0","M2",0
"mrgn","CSa","model",300,"all","M1","M2",0
"mrgn","CSa","model",300,"all","M2","M2",12
"mrgn","CSa","model",300,"all","M3","M2",0
"mrgn","CSa","model",300,"all","M4","M2",0
"mrgn","CSa","model",300,"all","M0","M3",0
"mrgn","CSa","model",300,"all","M1","M3",0
"mrgn","CSa","model",300,"all","M2","M3",0
"mrgn","CSa","model",300,"all","M3","M3",23
"mrgn","CSa","model",300,"all","M4","M3",0
"mrgn","CSa","model",300,"all","M0","M4",0
"mrgn","CSa","model",300,"all","M1","M4",0
"mrgn","CSa","model",300,"all","M2","M4",0
"mrgn","CSa","model",300,"all","M3","M4",11
"mrgn","CSa","model",300,"all","M4","M4",7
"mrgn","CSa","model",300,"all","M0","Other",23
"mrgn","CSa","model",300,"all","M1","Other",23
"mrgn","CSa","model",300,"all","M2","Other",25
"mrgn","CSa","model",300,"all","M3","Other",20
"mrgn","CSa","model",300,"all","M4","Other",20
"mrgn","CSa","edge",300,"all","M0","T1 - T2 Edge Absent",33
"mrgn","CSa","edge",300,"all","M1","T1 - T2 Edge Absent",3
"mrgn","CSa","edge",300,"all","M2","T1 - T2 Edge Absent",2
"mrgn","CSa","edge",300,"all","M3","T1 - T2 Edge Absent",27
"mrgn","CSa","edge",300,"all","M4","T1 - T2 Edge Absent",3
"mrgn","CSa","edge",300,"all","M0","T1 - T2 Edge Present",4
"mrgn","CSa","edge",300,"all","M1","T1 - T2 Edge Present",34
"mrgn","CSa","edge",300,"all","M2","T1 - T2 Edge Present",33
"mrgn","CSa","edge",300,"all","M3","T1 - T2 Edge Present",13
"mrgn","CSa","edge",300,"all","M4","T1 - T2 Edge Present",37
"mrgn","CSa","edge",300,"all","M0","Other",23
"mrgn","CSa","edge",300,"all","M1","Other",23
"mrgn","CSa","edge",300,"all","M2","Other",25
"mrgn","CSa","edge",300,"all","M3","Other",20
"mrgn","CSa","edge",300,"all","M4","Other",20
"mrgn","CSa","model",300,"small","M0","M0",7
"mrgn","CSa","model",300,"small","M1","M0",2
"mrgn","CSa","model",300,"small","M2","M0",0
"mrgn","CSa","model",300,"small","M3","M0",1
"mrgn","CSa","model",300,"small","M4","M0",2
"mrgn","CSa","model",300,"small","M0","M1",0
"mrgn","CSa","model",300,"small","M1","M1",4
"mrgn","CSa","model",300,"small","M2","M1",1
"mrgn","CSa","model",300,"small","M3","M1",0
"mrgn","CSa","model",300,"small","M4","M1",1
"mrgn","CSa","model",300,"small","M0","M2",0
"mrgn","CSa","model",300,"small","M1","M2",0
"mrgn","CSa","model",300,"small","M2","M2",0
"mrgn","CSa","model",300,"small","M3","M2",0
"mrgn","CSa","model",300,"small","M4","M2",0
"mrgn","CSa","model",300,"small","M0","M3",0
"mrgn","CSa","model",300,"small","M1","M3",0
"mrgn","CSa","model",300,"small","M2","M3",0
"mrgn","CSa","model",300,"small","M3","M3",1
"mrgn","CSa","model",300,"small","M4","M3",0
"mrgn","CSa","model",300,"small","M0","M4",0
"mrgn","CSa","model",300,"small","M1","M4",0
"mrgn","CSa","model",300,"small","M2","M4",0
"mrgn","CSa","model",300,"small","M3","M4",0
"mrgn","CSa","model",300,"small","M4","M4",0
"mrgn","CSa","model",300,"small","M0","Other",13
"mrgn","CSa","model",300,"small","M1","Other",14
"mrgn","CSa","model",300,"small","M2","Other",19
"mrgn","CSa","model",300,"small","M3","Other",18
"mrgn","CSa","model",300,"small","M4","Other",17
"mrgn","CSa","edge",300,"small","M0","T1 - T2 Edge Absent",7
"mrgn","CSa","edge",300,"small","M1","T1 - T2 Edge Absent",2
"mrgn","CSa","edge",300,"small","M2","T1 - T2 Edge Absent",0
"mrgn","CSa","edge",300,"small","M3","T1 - T2 Edge Absent",2
"mrgn","CSa","edge",300,"small","M4","T1 - T2 Edge Absent",2
"mrgn","CSa","edge",300,"small","M0","T1 - T2 Edge Present",0
"mrgn","CSa","edge",300,"small","M1","T1 - T2 Edge Present",4
"mrgn","CSa","edge",300,"small","M2","T1 - T2 Edge Present",1
"mrgn","CSa","edge",300,"small","M3","T1 - T2 Edge Present",0
"mrgn","CSa","edge",300,"small","M4","T1 - T2 Edge Present",1
"mrgn","CSa","edge",300,"small","M0","Other",13
"mrgn","CSa","edge",300,"small","M1","Other",14
"mrgn","CSa","edge",300,"small","M2","Other",19
"mrgn","CSa","edge",300,"small","M3","Other",18
"mrgn","CSa","edge",300,"small","M4","Other",17
"mrgn","CSa","model",300,"medium","M0","M0",10
"mrgn","CSa","model",300,"medium","M1","M0",1
"mrgn","CSa","model",300,"medium","M2","M0",2
"mrgn","CSa","model",300,"medium","M3","M0",2
"mrgn","CSa","model",300,"medium","M4","M0",1
"mrgn","CSa","model",300,"medium","M0","M1",2
"mrgn","CSa","model",300,"medium","M1","M1",14
"mrgn","CSa","model",300,"medium","M2","M1",13
"mrgn","CSa","model",300,"medium","M3","M1",2
"mrgn","CSa","model",300,"medium","M4","M1",10
"mrgn","CSa","model",300,"medium","M0","M2",0
"mrgn","CSa","model",300,"medium","M1","M2",0
"mrgn","CSa","model",300,"medium","M2","M2",1
"mrgn","CSa","model",300,"medium","M3","M2",0
"mrgn","CSa","model",300,"medium","M4","M2",0
"mrgn","CSa","model",300,"medium","M0","M3",0
"mrgn","CSa","model",300,"medium","M1","M3",0
"mrgn","CSa","model",300,"medium","M2","M3",0
"mrgn","CSa","model",300,"medium","M3","M3",13
"mrgn","CSa","model",300,"medium","M4","M3",0
"mrgn","CSa","model",300,"medium","M0","M4",0
"mrgn","CSa","model",300,"medium","M1","M4",0
"mrgn","CSa","model",300,"medium","M2","M4",0
"mrgn","CSa","model",300,"medium","M3","M4",1
"mrgn","CSa","model",300,"medium","M4","M4",6
"mrgn","CSa","model",300,"medium","M0","Other",8
"mrgn","CSa","model",300,"medium","M1","Other",5
"mrgn","CSa","model",300,"medium","M2","Other",4
"mrgn","CSa","model",300,"medium","M3","Other",2
"mrgn","CSa","model",300,"medium","M4","Other",3
"mrgn","CSa","edge",300,"medium","M0","T1 - T2 Edge Absent",10
"mrgn","CSa","edge",300,"medium","M1","T1 - T2 Edge Absent",1
"mrgn","CSa","edge",300,"medium","M2","T1 - T2 Edge Absent",2
"mrgn","CSa","edge",300,"medium","M3","T1 - T2 Edge Absent",15
"mrgn","CSa","edge",300,"medium","M4","T1 - T2 Edge Absent",1
"mrgn","CSa","edge",300,"medium","M0","T1 - T2 Edge Present",2
"mrgn","CSa","edge",300,"medium","M1","T1 - T2 Edge Present",14
"mrgn","CSa","edge",300,"medium","M2","T1 - T2 Edge Present",14
"mrgn","CSa","edge",300,"medium","M3","T1 - T2 Edge Present",3
"mrgn","CSa","edge",300,"medium","M4","T1 - T2 Edge Present",16
"mrgn","CSa","edge",300,"medium","M0","Other",8
"mrgn","CSa","edge",300,"medium","M1","Other",5
"mrgn","CSa","edge",300,"medium","M2","Other",4
"mrgn","CSa","edge",300,"medium","M3","Other",2
"mrgn","CSa","edge",300,"medium","M4","Other",3
"mrgn","CSa","model",300,"large","M0","M0",16
"mrgn","CSa","model",300,"large","M1","M0",0
"mrgn","CSa","model",300,"large","M2","M0",0
"mrgn","CSa","model",300,"large","M3","M0",1
"mrgn","CSa","model",300,"large","M4","M0",0
"mrgn","CSa","model",300,"large","M0","M1",2
"mrgn","CSa","model",300,"large","M1","M1",16
"mrgn","CSa","model",300,"large","M2","M1",7
"mrgn","CSa","model",300,"large","M3","M1",0
"mrgn","CSa","model",300,"large","M4","M1",19
"mrgn","CSa","model",300,"large","M0","M2",0
"mrgn","CSa","model",300,"large","M1","M2",0
"mrgn","CSa","model",300,"large","M2","M2",11
"mrgn","CSa","model",300,"large","M3","M2",0
"mrgn","CSa","model",300,"large","M4","M2",0
"mrgn","CSa","model",300,"large","M0","M3",0
"mrgn","CSa","model",300,"large","M1","M3",0
"mrgn","CSa","model",300,"large","M2","M3",0
"mrgn","CSa","model",300,"large","M3","M3",9
"mrgn","CSa","model",300,"large","M4","M3",0
"mrgn","CSa","model",300,"large","M0","M4",0
"mrgn","CSa","model",300,"large","M1","M4",0
"mrgn","CSa","model",300,"large","M2","M4",0
"mrgn","CSa","model",300,"large","M3","M4",10
"mrgn","CSa","model",300,"large","M4","M4",1
"mrgn","CSa","model",300,"large","M0","Other",2
"mrgn","CSa","model",300,"large","M1","Other",4
"mrgn","CSa","model",300,"large","M2","Other",2
"mrgn","CSa","model",300,"large","M3","Other",0
"mrgn","CSa","model",300,"large","M4","Other",0
"mrgn","CSa","edge",300,"large","M0","T1 - T2 Edge Absent",16
"mrgn","CSa","edge",300,"large","M1","T1 - T2 Edge Absent",0
"mrgn","CSa","edge",300,"large","M2","T1 - T2 Edge Absent",0
"mrgn","CSa","edge",300,"large","M3","T1 - T2 Edge Absent",10
"mrgn","CSa","edge",300,"large","M4","T1 - T2 Edge Absent",0
"mrgn","CSa","edge",300,"large","M0","T1 - T2 Edge Present",2
"mrgn","CSa","edge",300,"large","M1","T1 - T2 Edge Present",16
"mrgn","CSa","edge",300,"large","M2","T1 - T2 Edge Present",18
"mrgn","CSa","edge",300,"large","M3","T1 - T2 Edge Present",10
"mrgn","CSa","edge",300,"large","M4","T1 - T2 Edge Present",20
"mrgn","CSa","edge",300,"large","M0","Other",2
"mrgn","CSa","edge",300,"large","M1","Other",4
"mrgn","CSa","edge",300,"large","M2","Other",2
"mrgn","CSa","edge",300,"large","M3","Other",0
"mrgn","CSa","edge",300,"large","M4","Other",0
"mrgn","CSa","model",670,"all","M0","M0",31
"mrgn","CSa","model",670,"all","M1","M0",3
"mrgn","CSa","model",670,"all","M2","M0",7
"mrgn","CSa","model",670,"all","M3","M0",2
"mrgn","CSa","model",670,"all","M4","M0",2
"mrgn","CSa","model",670,"all","M0","M1",19
"mrgn","CSa","model",670,"all","M1","M1",46
"mrgn","CSa","model",670,"all","M2","M1",14
"mrgn","CSa","model",670,"all","M3","M1",1
"mrgn","CSa","model",670,"all","M4","M1",25
"mrgn","CSa","model",670,"all","M0","M2",0
"mrgn","CSa","model",670,"all","M1","M2",0
"mrgn","CSa","model",670,"all","M2","M2",33
"mrgn","CSa","model",670,"all","M3","M2",0
"mrgn","CSa","model",670,"all","M4","M2",0
"mrgn","CSa","model",670,"all","M0","M3",0
"mrgn","CSa","model",670,"all","M1","M3",0
"mrgn","CSa","model",670,"all","M2","M3",0
"mrgn","CSa","model",670,"all","M3","M3",26
"mrgn","CSa","model",670,"all","M4","M3",3
"mrgn","CSa","model",670,"all","M0","M4",0
"mrgn","CSa","model",670,"all","M1","M4",0
"mrgn","CSa","model",670,"all","M2","M4",0
"mrgn","CSa","model",670,"all","M3","M4",25
"mrgn","CSa","model",670,"all","M4","M4",26
"mrgn","CSa","model",670,"all","M0","Other",10
"mrgn","CSa","model",670,"all","M1","Other",11
"mrgn","CSa","model",670,"all","M2","Other",6
"mrgn","CSa","model",670,"all","M3","Other",6
"mrgn","CSa","model",670,"all","M4","Other",4
"mrgn","CSa","edge",670,"all","M0","T1 - T2 Edge Absent",31
"mrgn","CSa","edge",670,"all","M1","T1 - T2 Edge Absent",3
"mrgn","CSa","edge",670,"all","M2","T1 - T2 Edge Absent",7
"mrgn","CSa","edge",670,"all","M3","T1 - T2 Edge Absent",28
"mrgn","CSa","edge",670,"all","M4","T1 - T2 Edge Absent",5
"mrgn","CSa","edge",670,"all","M0","T1 - T2 Edge Present",19
"mrgn","CSa","edge",670,"all","M1","T1 - T2 Edge Present",46
"mrgn","CSa","edge",670,"all","M2","T1 - T2 Edge Present",47
"mrgn","CSa","edge",670,"all","M3","T1 - T2 Edge Present",26
"mrgn","CSa","edge",670,"all","M4","T1 - T2 Edge Present",51
"mrgn","CSa","edge",670,"all","M0","Other",10
"mrgn","CSa","edge",670,"all","M1","Other",11
"mrgn","CSa","edge",670,"all","M2","Other",6
"mrgn","CSa","edge",670,"all","M3","Other",6
"mrgn","CSa","edge",670,"all","M4","Other",4
"mrgn","CSa","model",670,"small","M0","M0",3
"mrgn","CSa","model",670,"small","M1","M0",3
"mrgn","CSa","model",670,"small","M2","M0",7
"mrgn","CSa","model",670,"small","M3","M0",1
"mrgn","CSa","model",670,"small","M4","M0",2
"mrgn","CSa","model",670,"small","M0","M1",9
"mrgn","CSa","model",670,"small","M1","M1",8
"mrgn","CSa","model",670,"small","M2","M1",7
"mrgn","CSa","model",670,"small","M3","M1",1
"mrgn","CSa","model",670,"small","M4","M1",5
"mrgn","CSa","model",670,"small","M0","M2",0
"mrgn","CSa","model",670,"small","M1","M2",0
"mrgn","CSa","model",670,"small","M2","M2",0
"mrgn","CSa","model",670,"small","M3","M2",0
"mrgn","CSa","model",670,"small","M4","M2",0
"mrgn","CSa","model",670,"small","M0","M3",0
"mrgn","CSa","model",670,"small","M1","M3",0
"mrgn","CSa","model",670,"small","M2","M3",0
"mrgn","CSa","model",670,"small","M3","M3",5
"mrgn","CSa","model",670,"small","M4","M3",3
"mrgn","CSa","model",670,"small","M0","M4",0
"mrgn","CSa","model",670,"small","M1","M4",0
"mrgn","CSa","model",670,"small","M2","M4",0
"mrgn","CSa","model",670,"small","M3","M4",7
"mrgn","CSa","model",670,"small","M4","M4",6
"mrgn","CSa","model",670,"small","M0","Other",8
"mrgn","CSa","model",670,"small","M1","Other",9
"mrgn","CSa","model",670,"small","M2","Other",6
"mrgn","CSa","model",670,"small","M3","Other",6
"mrgn","CSa","model",670,"small","M4","Other",4
"mrgn","CSa","edge",670,"small","M0","T1 - T2 Edge Absent",3
"mrgn","CSa","edge",670,"small","M1","T1 - T2 Edge Absent",3
"mrgn","CSa","edge",670,"small","M2","T1 - T2 Edge Absent",7
"mrgn","CSa","edge",670,"small","M3","T1 - T2 Edge Absent",6
"mrgn","CSa","edge",670,"small","M4","T1 - T2 Edge Absent",5
"mrgn","CSa","edge",670,"small","M0","T1 - T2 Edge Present",9
"mrgn","CSa","edge",670,"small","M1","T1 - T2 Edge Present",8
"mrgn","CSa","edge",670,"small","M2","T1 - T2 Edge Present",7
"mrgn","CSa","edge",670,"small","M3","T1 - T2 Edge Present",8
"mrgn","CSa","edge",670,"small","M4","T1 - T2 Edge Present",11
"mrgn","CSa","edge",670,"small","M0","Other",8
"mrgn","CSa","edge",670,"small","M1","Other",9
"mrgn","CSa","edge",670,"small","M2","Other",6
"mrgn","CSa","edge",670,"small","M3","Other",6
"mrgn","CSa","edge",670,"small","M4","Other",4
"mrgn","CSa","model",670,"medium","M0","M0",12
"mrgn","CSa","model",670,"medium","M1","M0",0
"mrgn","CSa","model",670,"medium","M2","M0",0
"mrgn","CSa","model",670,"medium","M3","M0",1
"mrgn","CSa","model",670,"medium","M4","M0",0
"mrgn","CSa","model",670,"medium","M0","M1",6
"mrgn","CSa","model",670,"medium","M1","M1",18
"mrgn","CSa","model",670,"medium","M2","M1",6
"mrgn","CSa","model",670,"medium","M3","M1",0
"mrgn","CSa","model",670,"medium","M4","M1",5
"mrgn","CSa","model",670,"medium","M0","M2",0
"mrgn","CSa","model",670,"medium","M1","M2",0
"mrgn","CSa","model",670,"medium","M2","M2",14
"mrgn","CSa","model",670,"medium","M3","M2",0
"mrgn","CSa","model",670,"medium","M4","M2",0
"mrgn","CSa","model",670,"medium","M0","M3",0
"mrgn","CSa","model",670,"medium","M1","M3",0
"mrgn","CSa","model",670,"medium","M2","M3",0
"mrgn","CSa","model",670,"medium","M3","M3",13
"mrgn","CSa","model",670,"medium","M4","M3",0
"mrgn","CSa","model",670,"medium","M0","M4",0
"mrgn","CSa","model",670,"medium","M1","M4",0
"mrgn","CSa","model",670,"medium","M2","M4",0
"mrgn","CSa","model",670,"medium","M3","M4",6
"mrgn","CSa","model",670,"medium","M4","M4",15
"mrgn","CSa","model",670,"medium","M0","Other",2
"mrgn","CSa","model",670,"medium","M1","Other",2
"mrgn","CSa","model",670,"medium","M2","Other",0
"mrgn","CSa","model",670,"medium","M3","Other",0
"mrgn","CSa","model",670,"medium","M4","Other",0
"mrgn","CSa","edge",670,"medium","M0","T1 - T2 Edge Absent",12
"mrgn","CSa","edge",670,"medium","M1","T1 - T2 Edge Absent",0
"mrgn","CSa","edge",670,"medium","M2","T1 - T2 Edge Absent",0
"mrgn","CSa","edge",670,"medium","M3","T1 - T2 Edge Absent",14
"mrgn","CSa","edge",670,"medium","M4","T1 - T2 Edge Absent",0
"mrgn","CSa","edge",670,"medium","M0","T1 - T2 Edge Present",6
"mrgn","CSa","edge",670,"medium","M1","T1 - T2 Edge Present",18
"mrgn","CSa","edge",670,"medium","M2","T1 - T2 Edge Present",20
"mrgn","CSa","edge",670,"medium","M3","T1 - T2 Edge Present",6
"mrgn","CSa","edge",670,"medium","M4","T1 - T2 Edge Present",20
"mrgn","CSa","edge",670,"medium","M0","Other",2
"mrgn","CSa","edge",670,"medium","M1","Other",2
"mrgn","CSa","edge",670,"medium","M2","Other",0
"mrgn","CSa","edge",670,"medium","M3","Other",0
"mrgn","CSa","edge",670,"medium","M4","Other",0
"mrgn","CSa","model",670,"large","M0","M0",16
"mrgn","CSa","model",670,"large","M1","M0",0
"mrgn","CSa","model",670,"large","M2","M0",0
"mrgn","CSa","model",670,"large","M3","M0",0
"mrgn","CSa","model",670,"large","M4","M0",0
"mrgn","CSa","model",670,"large","M0","M1",4
"mrgn","CSa","model",670,"large","M1","M1",20
"mrgn","CSa","model",670,"large","M2","M1",1
"mrgn","CSa","model",670,"large","M3","M1",0
"mrgn","CSa","model",670,"large","M4","M1",15
"mrgn","CSa","model",670,"large","M0","M2",0
"mrgn","CSa","model",670,"large","M1","M2",0
"mrgn","CSa","model",670,"large","M2","M2",19
"mrgn","CSa","model",670,"large","M3","M2",0
"mrgn","CSa","model",670,"large","M4","M2",0
"mrgn","CSa","model",670,"large","M0","M3",0
"mrgn","CSa","model",670,"large","M1","M3",0
"mrgn","CSa","model",670,"large","M2","M3",0
"mrgn","CSa","model",670,"large","M3","M3",8
"mrgn","CSa","model",670,"large","M4","M3",0
"mrgn","CSa","model",670,"large","M0","M4",0
"mrgn","CSa","model",670,"large","M1","M4",0
"mrgn","CSa","model",670,"large","M2","M4",0
"mrgn","CSa","model",670,"large","M3","M4",12
"mrgn","CSa","model",670,"large","M4","M4",5
"mrgn","CSa","model",670,"large","M0","Other",0
"mrgn","CSa","model",670,"large","M1","Other",0
"mrgn","CSa","model",670,"large","M2","Other",0
"mrgn","CSa","model",670,"large","M3","Other",0
"mrgn","CSa","model",670,"large","M4","Other",0
"mrgn","CSa","edge",670,"large","M0","T1 - T2 Edge Absent",16
"mrgn","CSa","edge",670,"large","M1","T1 - T2 Edge Absent",0
"mrgn","CSa","edge",670,"large","M2","T1 - T2 Edge Absent",0
"mrgn","CSa","edge",670,"large","M3","T1 - T2 Edge Absent",8
"mrgn","CSa","edge",670,"large","M4","T1 - T2 Edge Absent",0
"mrgn","CSa","edge",670,"large","M0","T1 - T2 Edge Present",4
"mrgn","CSa","edge",670,"large","M1","T1 - T2 Edge Present",20
"mrgn","CSa","edge",670,"large","M2","T1 - T2 Edge Present",20
"mrgn","CSa","edge",670,"large","M3","T1 - T2 Edge Present",12
"mrgn","CSa","edge",670,"large","M4","T1 - T2 Edge Present",20
"mrgn","CSa","edge",670,"large","M0","Other",0
"mrgn","CSa","edge",670,"large","M1","Other",0
"mrgn","CSa","edge",670,"large","M2","Other",0
"mrgn","CSa","edge",670,"large","M3","Other",0
"mrgn","CSa","edge",670,"large","M4","Other",0
"mrgn","CSa","model",1000,"all","M0","M0",29
"mrgn","CSa","model",1000,"all","M1","M0",7
"mrgn","CSa","model",1000,"all","M2","M0",1
"mrgn","CSa","model",1000,"all","M3","M0",1
"mrgn","CSa","model",1000,"all","M4","M0",2
"mrgn","CSa","model",1000,"all","M0","M1",25
"mrgn","CSa","model",1000,"all","M1","M1",43
"mrgn","CSa","model",1000,"all","M2","M1",22
"mrgn","CSa","model",1000,"all","M3","M1",2
"mrgn","CSa","model",1000,"all","M4","M1",11
"mrgn","CSa","model",1000,"all","M0","M2",0
"mrgn","CSa","model",1000,"all","M1","M2",0
"mrgn","CSa","model",1000,"all","M2","M2",30
"mrgn","CSa","model",1000,"all","M3","M2",2
"mrgn","CSa","model",1000,"all","M4","M2",2
"mrgn","CSa","model",1000,"all","M0","M3",0
"mrgn","CSa","model",1000,"all","M1","M3",0
"mrgn","CSa","model",1000,"all","M2","M3",0
"mrgn","CSa","model",1000,"all","M3","M3",26
