"method","arm","dataset","sample.size","effect_size","truth.model","time.seconds","timed.out","stalled"
"MRGN","CSa",979,50,"small","M3",0.0193650722503662,FALSE,FALSE
"MRGN","CSa",980,50,"small","M4",0.0232608318328857,FALSE,FALSE
"MRGN","CSa",981,150,"small","M0.1",0.0270328521728516,FALSE,FALSE
"MRGN","CSa",982,150,"small","M1.1",0.0311260223388672,FALSE,FALSE
"MRGN","CSa",983,150,"small","M2.1",0.0298049449920654,FALSE,FALSE
"MRGN","CSa",984,150,"small","M3",0.0209870338439941,FALSE,FALSE
"MRGN","CSa",985,150,"small","M4",0.0388810634613037,FALSE,FALSE
"MRGN","CSa",986,300,"small","M0.1",0.0676519870758057,FALSE,FALSE
"MRGN","CSa",987,300,"small","M1.1",0.0370562076568604,FALSE,FALSE
"MRGN","CSa",988,300,"small","M2.1",0.0293469429016113,FALSE,FALSE
"MRGN","CSa",989,300,"small","M3",0.0290119647979736,FALSE,FALSE
"MRGN","CSa",990,300,"small","M4",0.0452389717102051,FALSE,FALSE
"MRGN","CSa",991,670,"small","M0.1",0.0402779579162598,FALSE,FALSE
"MRGN","CSa",992,670,"small","M1.1",0.0291910171508789,FALSE,FALSE
"MRGN","CSa",993,670,"small","M2.1",0.0488989353179932,FALSE,FALSE
"MRGN","CSa",994,670,"small","M3",0.0467250347137451,FALSE,FALSE
"MRGN","CSa",995,670,"small","M4",0.0991578102111816,FALSE,FALSE
"MRGN","CSa",996,1000,"small","M0.1",0.0550131797790527,FALSE,FALSE
"MRGN","CSa",997,1000,"small","M1.1",0.0541951656341553,FALSE,FALSE
"MRGN","CSa",998,1000,"small","M2.1",0.0497081279754639,FALSE,FALSE
"MRGN","CSa",999,1000,"small","M3",0.0569729804992676,FALSE,FALSE
"MRGN","CSa",1000,1000,"small","M4",0.0574190616607666,FALSE,FALSE
"MRGN","CSa",1001,50,"medium","M0.1",0.0235400199890137,FALSE,FALSE
"MRGN","CSa",1002,50,"medium","M1.1",0.0235178470611572,FALSE,FALSE
"MRGN","CSa",1003,50,"medium","M2.1",0.0224640369415283,FALSE,FALSE
"MRGN","CSa",1004,50,"medium","M3",0.0230650901794434,FALSE,FALSE
"MRGN","CSa",1005,50,"medium","M4",0.0189499855041504,FALSE,FALSE
"MRGN","CSa",1006,150,"medium","M0.1",0.0475540161132812,FALSE,FALSE
"MRGN","CSa",1007,150,"medium","M1.1",0.0483758449554443,FALSE,FALSE
"MRGN","CSa",1008,150,"medium","M2.1",0.0332038402557373,FALSE,FALSE
"MRGN","CSa",1009,150,"medium","M3",0.0232350826263428,FALSE,FALSE
"MRGN","CSa",1010,150,"medium","M4",0.0259439945220947,FALSE,FALSE
"MRGN","CSa",1011,300,"medium","M0.1",0.0359618663787842,FALSE,FALSE
"MRGN","CSa",1012,300,"medium","M1.1",0.0302629470825195,FALSE,FALSE
"MRGN","CSa",1013,300,"medium","M2.1",0.033750057220459,FALSE,FALSE
"MRGN","CSa",1014,300,"medium","M3",0.0563790798187256,FALSE,FALSE
"MRGN","CSa",1015,300,"medium","M4",0.0365140438079834,FALSE,FALSE
"MRGN","CSa",1016,670,"medium","M0.1",0.0523498058319092,FALSE,FALSE
"MRGN","CSa",1017,670,"medium","M1.1",0.0448839664459229,FALSE,FALSE
"MRGN","CSa",1018,670,"medium","M2.1",0.0393831729888916,FALSE,FALSE
"MRGN","CSa",1019,670,"medium","M3",0.0387599468231201,FALSE,FALSE
"MRGN","CSa",1020,670,"medium","M4",0.0357410907745361,FALSE,FALSE
"MRGN","CSa",1021,1000,"medium","M0.1",0.0434129238128662,FALSE,FALSE
"MRGN","CSa",1022,1000,"medium","M1.1",0.0512869358062744,FALSE,FALSE
"MRGN","CSa",1023,1000,"medium","M2.1",0.0638511180877686,FALSE,FALSE
"MRGN","CSa",1024,1000,"medium","M3",0.0435152053833008,FALSE,FALSE
"MRGN","CSa",1025,1000,"medium","M4",0.046630859375,FALSE,FALSE
"MRGN","CSa",1026,50,"large","M0.1",0.0229508876800537,FALSE,FALSE
"MRGN","CSa",1027,50,"large","M1.1",0.0220201015472412,FALSE,FALSE
"MRGN","CSa",1028,50,"large","M2.1",0.0204367637634277,FALSE,FALSE
"MRGN","CSa",1029,50,"large","M3",0.030742883682251,FALSE,FALSE
"MRGN","CSa",1030,50,"large","M4",0.0254600048065186,FALSE,FALSE
"MRGN","CSa",1031,150,"large","M0.1",0.0364310741424561,FALSE,FALSE
"MRGN","CSa",1032,150,"large","M1.1",0.0287752151489258,FALSE,FALSE
"MRGN","CSa",1033,150,"large","M2.1",0.0237929821014404,FALSE,FALSE
"MRGN","CSa",1034,150,"large","M3",0.0261058807373047,FALSE,FALSE
"MRGN","CSa",1035,150,"large","M4",0.0350110530853271,FALSE,FALSE
"MRGN","CSa",1036,300,"large","M0.1",0.0612149238586426,FALSE,FALSE
"MRGN","CSa",1037,300,"large","M1.1",0.0280749797821045,FALSE,FALSE
"MRGN","CSa",1038,300,"large","M2.1",0.0222969055175781,FALSE,FALSE
"MRGN","CSa",1039,300,"large","M3",0.0246500968933105,FALSE,FALSE
"MRGN","CSa",1040,300,"large","M4",0.0237460136413574,FALSE,FALSE
"MRGN","CSa",1041,670,"large","M0.1",0.0700910091400146,FALSE,FALSE
"MRGN","CSa",1042,670,"large","M1.1",0.074286937713623,FALSE,FALSE
"MRGN","CSa",1043,670,"large","M2.1",0.082550048828125,FALSE,FALSE
"MRGN","CSa",1044,670,"large","M3",0.0405521392822266,FALSE,FALSE
"MRGN","CSa",1045,670,"large","M4",0.0360288619995117,FALSE,FALSE
"MRGN","CSa",1046,1000,"large","M0.1",0.0476090908050537,FALSE,FALSE
"MRGN","CSa",1047,1000,"large","M1.1",0.102187871932983,FALSE,FALSE
"MRGN","CSa",1048,1000,"large","M2.1",0.115463972091675,FALSE,FALSE
"MRGN","CSa",1049,1000,"large","M3",0.0565259456634521,FALSE,FALSE
"MRGN","CSa",1050,1000,"large","M4",0.0613288879394531,FALSE,FALSE
"MRGN","CSa",1051,50,"small","M0.1",0.0224161148071289,FALSE,FALSE
"MRGN","CSa",1052,50,"small","M1.1",0.0177590847015381,FALSE,FALSE
"MRGN","CSa",1053,50,"small","M2.1",0.0200800895690918,FALSE,FALSE
